Facility ID,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Year,End Year,Facility_Name_Enc,State_Enc,Measure Name_READM-30-CABG-HRRP,Measure Name_READM-30-COPD-HRRP,Measure Name_READM-30-HF-HRRP,Measure Name_READM-30-HIP-KNEE-HRRP,Measure Name_READM-30-PN-HRRP
10001,568.8,0.8916,3.5325,3.9618,18.8,2019,2022,0.9967826650890045,1,False,False,False,True,False
10001,616.0,1.1003,23.1263,21.0184,149.0,2019,2022,0.9967826650890045,1,False,False,True,False,False
10001,274.0,0.9332,12.9044,13.8283,32.0,2019,2022,0.9967826650890045,1,False,False,False,False,False
10001,404.0,0.9871,17.0529,17.2762,68.0,2019,2022,0.9967826650890045,1,False,False,False,False,True
10001,126.0,0.9517,9.8131,10.3112,11.0,2019,2022,0.9967826650890045,1,True,False,False,False,False
10001,117.0,0.9803,18.1837,18.5483,20.0,2019,2022,0.9967826650890045,1,False,True,False,False,False
10005,244.2519149987645,1.001775995694295,15.098235232259666,15.06644609588474,42.43650190114069,2019,2022,0.9893201179396682,1,False,False,False,False,False
10005,137.0,0.8784,16.2476,18.4967,14.0,2019,2022,0.9893201179396682,1,False,True,False,False,False
10005,285.0,0.9497,15.2494,16.0567,40.0,2019,2022,0.9893201179396682,1,False,False,False,False,True
10005,129.0,0.9885,19.1975,19.4209,24.0,2019,2022,0.9893201179396682,1,False,False,True,False,False
10005,496.2,0.7977,3.7634,4.7181,15.8,2019,2022,0.9893201179396682,1,False,False,False,True,False
10005,244.2519149987645,1.001775995694295,15.098235232259666,15.06644609588474,42.43650190114069,2019,2022,0.9893201179396682,1,True,False,False,False,False
10006,228.0,1.2468,5.5173,4.4251,15.8,2019,2022,1.0111342239740793,1,False,False,False,True,False
10006,158.0,0.9165,16.8035,18.3353,21.0,2019,2022,1.0111342239740793,1,False,True,False,False,False
10006,89.0,1.133,12.8249,11.3197,15.0,2019,2022,1.0111342239740793,1,True,False,False,False,False
10006,441.0,0.9629,19.3905,20.138,83.0,2019,2022,1.0111342239740793,1,False,False,True,False,False
10006,273.0,1.0472,12.3815,11.8232,36.0,2019,2022,1.0111342239740793,1,False,False,False,False,False
10006,472.0,0.9731,16.2835,16.734,75.0,2019,2022,1.0111342239740793,1,False,False,False,False,True
10007,239.8,1.0385,20.908,20.1338,52.4,2019,2022,1.0034738607133016,1,False,False,True,False,False
10007,244.2519149987645,1.001775995694295,15.098235232259666,15.06644609588474,42.43650190114069,2019,2022,1.0034738607133016,1,True,False,False,False,False
10007,173.2,0.9804,14.3119,14.598,23.6,2019,2022,1.0034738607133016,1,False,False,False,False,True
10007,244.2519149987645,1.001775995694295,15.098235232259666,15.06644609588474,42.43650190114069,2019,2022,1.0034738607133016,1,False,False,False,False,False
10007,397.8,0.9918,4.3361,4.3719,16.8,2019,2022,1.0034738607133016,1,False,False,False,True,False
10007,338.0,1.0329,17.5235,16.9657,61.4,2019,2022,1.0034738607133016,1,False,True,False,False,False
10008,244.2519149987645,1.001775995694295,15.098235232259666,15.06644609588474,42.43650190114069,2019,2022,1.0022706106782822,1,False,True,False,False,False
10008,244.2519149987645,1.001775995694295,15.098235232259666,15.06644609588474,42.43650190114069,2019,2022,1.0022706106782822,1,False,False,False,True,False
10008,244.2519149987645,1.001775995694295,15.098235232259666,15.06644609588474,42.43650190114069,2019,2022,1.0022706106782822,1,False,False,True,False,False
10008,244.2519149987645,1.001775995694295,15.098235232259666,15.06644609588474,42.43650190114069,2019,2022,1.0022706106782822,1,True,False,False,False,False
10008,244.2519149987645,1.001775995694295,15.098235232259666,15.06644609588474,42.43650190114069,2019,2022,1.0022706106782822,1,False,False,False,False,True
10008,244.2519149987645,1.001775995694295,15.098235232259666,15.06644609588474,42.43650190114069,2019,2022,1.0022706106782822,1,False,False,False,False,False
10011,127.0,0.9969,11.9288,11.9664,15.0,2019,2022,1.0089153865907448,1,False,False,False,False,False
10011,350.0,0.9949,3.9895,4.0099,13.6,2019,2022,1.0089153865907448,1,False,False,False,True,False
10011,198.2,1.0203,18.5304,18.1622,38.0,2019,2022,1.0089153865907448,1,False,True,False,False,False
10011,309.0,1.05,17.6813,16.8389,58.0,2019,2022,1.0089153865907448,1,False,False,False,False,True
10011,64.0,1.153,12.495,10.8369,12.0,2019,2022,1.0089153865907448,1,True,False,False,False,False
10011,251.0,0.9971,19.9965,20.0544,50.0,2019,2022,1.0089153865907448,1,False,False,True,False,False
10012,244.2519149987645,1.001775995694295,15.098235232259666,15.06644609588474,42.43650190114069,2019,2022,0.9996724944384358,1,False,True,False,False,False
10012,82.0,0.9856,18.2175,18.4834,14.0,2019,2022,0.9996724944384358,1,False,False,True,False,False
10012,244.2519149987645,1.001775995694295,15.098235232259666,15.06644609588474,42.43650190114069,2019,2022,0.9996724944384358,1,True,False,False,False,False
10012,151.0,0.9781,14.2085,14.526,20.0,2019,2022,0.9996724944384358,1,False,False,False,False,True
10012,480.6,0.922,3.2836,3.5615,15.0,2019,2022,0.9996724944384358,1,False,False,False,True,False
10012,140.4,1.0426,11.2386,10.7794,17.0,2019,2022,0.9996724944384358,1,False,False,False,False,False
10016,168.0,1.0081,17.5256,17.3839,30.0,2019,2022,1.0089516528778424,1,False,False,False,False,True
10016,169.6,1.1156,13.0454,11.6937,25.6,2019,2022,1.0089516528778424,1,True,False,False,False,False
10016,443.4,0.9686,19.5372,20.1697,84.4,2019,2022,1.0089516528778424,1,False,True,False,False,False
10016,280.0,1.1085,5.3694,4.8437,16.8,2019,2022,1.0089516528778424,1,False,False,False,True,False
10016,72.0,1.038,14.1322,13.6152,12.0,2019,2022,1.0089516528778424,1,False,False,False,False,False
10016,186.0,0.9745,20.2796,20.81,36.0,2019,2022,1.0089516528778424,1,False,False,True,False,False
10018,244.2519149987645,1.001775995694295,15.098235232259666,15.06644609588474,42.43650190114069,2019,2022,1.0022706106782822,1,False,False,False,False,True
10018,244.2519149987645,1.001775995694295,15.098235232259666,15.06644609588474,42.43650190114069,2019,2022,1.0022706106782822,1,False,False,False,True,False
10018,244.2519149987645,1.001775995694295,15.098235232259666,15.06644609588474,42.43650190114069,2019,2022,1.0022706106782822,1,False,False,True,False,False
10018,244.2519149987645,1.001775995694295,15.098235232259666,15.06644609588474,42.43650190114069,2019,2022,1.0022706106782822,1,False,True,False,False,False
10018,244.2519149987645,1.001775995694295,15.098235232259666,15.06644609588474,42.43650190114069,2019,2022,1.0022706106782822,1,False,False,False,False,False
10018,244.2519149987645,1.001775995694295,15.098235232259666,15.06644609588474,42.43650190114069,2019,2022,1.0022706106782822,1,True,False,False,False,False
10019,543.6,1.041,3.6031,3.4611,19.6,2019,2022,0.9989405748261025,1,False,False,False,True,False
10019,208.0,0.9366,17.922,19.1344,33.0,2019,2022,0.9989405748261025,1,False,False,True,False,False
10019,244.2519149987645,1.001775995694295,15.098235232259666,15.06644609588474,42.43650190114069,2019,2022,0.9989405748261025,1,False,False,False,False,False
10019,244.2519149987645,1.001775995694295,15.098235232259666,15.06644609588474,42.43650190114069,2019,2022,0.9989405748261025,1,True,False,False,False,False
10019,160.0,0.9307,16.5761,17.81,22.0,2019,2022,0.9989405748261025,1,False,True,False,False,False
10019,208.0,0.9978,15.456,15.4901,32.0,2019,2022,0.9989405748261025,1,False,False,False,False,True
10021,244.2519149987645,1.001775995694295,15.098235232259666,15.06644609588474,42.43650190114069,2019,2022,1.003097218695161,1,False,False,False,True,False
10021,244.2519149987645,1.001775995694295,15.098235232259666,15.06644609588474,42.43650190114069,2019,2022,1.003097218695161,1,True,False,False,False,False
10021,270.8,0.9324,19.5288,20.9453,47.6,2019,2022,1.003097218695161,1,False,True,False,False,False
10021,244.2519149987645,1.001775995694295,15.098235232259666,15.06644609588474,42.43650190114069,2019,2022,1.003097218695161,1,False,False,False,False,False
10021,121.6,1.0428,21.074,20.2097,28.6,2019,2022,1.003097218695161,1,False,False,True,False,False
